name,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Abandoned Campground,,0,Land,"Abandoned Campground enters tapped unless a player has 13 or less life.
{T}: Add {W} or {U}.",n/a,n/a,[],"['U', 'W']",[],dsk,common
Abhorrent Oculus,{2}{U},3,Creature — Eye,"As an additional cost to cast this spell, exile six cards from your graveyard.
Flying
At the beginning of each opponent's upkeep, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",5,5,['U'],['U'],"['Flying', 'Manifest', 'Manifest dread']",dsk,mythic
Acrobatic Cheerleader,{1}{W},2,Creature — Human Survivor,"Survival — At the beginning of your second main phase, if Acrobatic Cheerleader is tapped, put a flying counter on it. This ability triggers only once.",2,2,['W'],['W'],['Survival'],dsk,common
"Altanak, the Thrice-Called",{5}{G}{G},7,Legendary Creature — Insect Beast,"Trample
Whenever Altanak, the Thrice-Called becomes the target of a spell or ability an opponent controls, draw a card.
{1}{G}, Discard Altanak, the Thrice-Called: Return target land card from your graveyard to the battlefield tapped.",9,9,['G'],['G'],['Trample'],dsk,uncommon
Anthropede,{3}{G},4,Creature — Insect,"Reach
When Anthropede enters, you may discard a card or pay {2}. When you do, destroy target Room.",3,4,['G'],['G'],['Reach'],dsk,common
Appendage Amalgam,{2}{B},3,Enchantment Creature — Horror,"Flash
Whenever Appendage Amalgam attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",3,2,['B'],['B'],"['Surveil', 'Flash']",dsk,common
"Arabella, Abandoned Doll",{R}{W},2,Legendary Artifact Creature — Toy,"Whenever Arabella, Abandoned Doll attacks, it deals X damage to each opponent and you gain X life, where X is the number of creatures you control with power 2 or less.",1,3,"['R', 'W']","['R', 'W']",[],dsk,uncommon
Attack-in-the-Box,{3},3,Artifact Creature — Toy,"Whenever Attack-in-the-Box attacks, you may have it get +4/+0 until end of turn. If you do, sacrifice it at the beginning of the next end step.",2,4,[],[],[],dsk,uncommon
Balemurk Leech,{1}{B},2,Creature — Leech,"Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, each opponent loses 1 life.",2,2,['B'],['B'],['Eerie'],dsk,common
Balustrade Wurm,{3}{G}{G},5,Creature — Wurm,"This spell can't be countered.
Trample, haste
Delirium — {2}{G}{G}: Return Balustrade Wurm from your graveyard to the battlefield with a finality counter on it. Activate only if there are four or more card types among cards in your graveyard and only as a sorcery.",5,5,['G'],['G'],"['Delirium', 'Haste', 'Trample']",dsk,rare
Baseball Bat,{G}{W},2,Artifact — Equipment,"When Baseball Bat enters, attach it to target creature you control.
Equipped creature gets +1/+1.
Whenever equipped creature attacks, tap up to one target creature.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",n/a,n/a,"['G', 'W']","['G', 'W']",['Equip'],dsk,uncommon
Bashful Beastie,{4}{G},5,Creature — Beast,"When Bashful Beastie dies, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",5,4,['G'],['G'],"['Manifest', 'Manifest dread']",dsk,common
Bear Trap,{1},1,Artifact,"Flash
{3}, {T}, Sacrifice Bear Trap: It deals 3 damage to target creature.",n/a,n/a,[],[],['Flash'],dsk,common
Beastie Beatdown,{R}{G},2,Sorcery,"Choose target creature you control and target creature an opponent controls.
Delirium — If there are four or more card types among cards in your graveyard, put two +1/+1 counters on the creature you control.
The creature you control deals damage equal to its power to the creature an opponent controls.",n/a,n/a,"['G', 'R']","['G', 'R']",['Delirium'],dsk,uncommon
Bedhead Beastie,{4}{R}{R},6,Creature — Beast,"Menace (This creature can't be blocked except by two or more creatures.)
Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)",5,6,['R'],['R'],"['Mountaincycling', 'Landcycling', 'Menace', 'Typecycling', 'Cycling']",dsk,common
Betrayer's Bargain,{1}{R},2,Instant,"As an additional cost to cast this spell, sacrifice a creature or enchantment or pay {2}.
Betrayer's Bargain deals 5 damage to target creature. If that creature would die this turn, exile it instead.",n/a,n/a,['R'],['R'],[],dsk,uncommon
Blazemire Verge,,0,Land,"{T}: Add {B}.
{T}: Add {R}. Activate only if you control a Swamp or a Mountain.",n/a,n/a,[],"['B', 'R']",[],dsk,rare
Bleeding Woods,,0,Land,"Bleeding Woods enters tapped unless a player has 13 or less life.
{T}: Add {R} or {G}.",n/a,n/a,[],"['G', 'R']",[],dsk,common
Boilerbilges Ripper,{4}{R},5,Creature — Human Assassin,"When Boilerbilges Ripper enters, you may sacrifice another creature or enchantment. When you do, Boilerbilges Ripper deals 2 damage to any target.",4,4,['R'],['R'],[],dsk,common
Bottomless Pool // Locker Room,{U} // {4}{U},6,Enchantment — Room // Enchantment — Room,n/a,n/a,n/a,['U'],['U'],[],dsk,uncommon
Break Down the Door,{2}{G},3,Instant,"Choose one —
• Exile target artifact.
• Exile target enchantment.
• Manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",n/a,n/a,['G'],['G'],"['Manifest', 'Manifest dread']",dsk,uncommon
Broodspinner,{B}{G},2,Creature — Spider,"Reach
When Broodspinner enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
{4}{B}{G}, {T}, Sacrifice Broodspinner: Create a number of 1/1 black and green Insect creature tokens with flying equal to the number of card types among cards in your graveyard.",2,3,"['B', 'G']","['B', 'G']","['Surveil', 'Reach']",dsk,uncommon
Cackling Slasher,{3}{B},4,Creature — Human Assassin,"Deathtouch
Cackling Slasher enters with a +1/+1 counter on it if a creature died this turn.",3,3,['B'],['B'],['Deathtouch'],dsk,common
Cathartic Parting,{1}{G},2,Sorcery,The owner of target artifact or enchantment an opponent controls shuffles it into their library. You may shuffle up to four target cards from your graveyard into your library.,n/a,n/a,['G'],['G'],[],dsk,uncommon
Cautious Survivor,{3}{G},4,Creature — Elf Survivor,"Survival — At the beginning of your second main phase, if Cautious Survivor is tapped, you gain 2 life.",4,4,['G'],['G'],['Survival'],dsk,common
Central Elevator // Promising Stairs,{3}{U} // {2}{U},7,Enchantment — Room // Enchantment — Room,n/a,n/a,n/a,['U'],['U'],['Surveil'],dsk,rare
Chainsaw,{1}{R},2,Artifact — Equipment,"When Chainsaw enters, it deals 3 damage to up to one target creature.
Whenever one or more creatures die, put a rev counter on Chainsaw.
Equipped creature gets +X/+0, where X is the number of rev counters on Chainsaw.
Equip {3}",n/a,n/a,['R'],['R'],['Equip'],dsk,rare
Charred Foyer // Warped Space,{3}{R} // {4}{R}{R},10,Enchantment — Room // Enchantment — Room,n/a,n/a,n/a,['R'],['R'],[],dsk,mythic
Clammy Prowler,{3}{U},4,Enchantment Creature — Horror,"Whenever Clammy Prowler attacks, another target attacking creature can't be blocked this turn.",2,5,['U'],['U'],[],dsk,common
Clockwork Percussionist,{R},1,Artifact Creature — Monkey Toy,"Haste
When Clockwork Percussionist dies, exile the top card of your library. You may play it until the end of your next turn.",1,1,['R'],['R'],['Haste'],dsk,common
Come Back Wrong,{2}{B},3,Sorcery,"Destroy target creature. If a creature card is put into a graveyard this way, return it to the battlefield under your control. Sacrifice it at the beginning of your next end step.",n/a,n/a,['B'],['B'],[],dsk,rare
Commune with Evil,{2}{B},3,Sorcery,Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard. You gain 3 life.,n/a,n/a,['B'],['B'],[],dsk,uncommon
Conductive Machete,{4},4,Artifact — Equipment,"When Conductive Machete enters, manifest dread, then attach Conductive Machete to that creature. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)
Equipped creature gets +2/+1.
Equip {4}",n/a,n/a,[],[],"['Manifest', 'Manifest dread', 'Equip']",dsk,uncommon
Coordinated Clobbering,{G},1,Sorcery,Tap one or two target untapped creatures you control. They each deal damage equal to their power to target creature an opponent controls.,n/a,n/a,['G'],['G'],[],dsk,uncommon
Cracked Skull,{2}{B},3,Enchantment — Aura,"Enchant creature
When Cracked Skull enters, look at target player's hand. You may choose a nonland card from it. That player discards that card.
When enchanted creature is dealt damage, destroy it.",n/a,n/a,['B'],['B'],['Enchant'],dsk,common
Creeping Peeper,{1}{U},2,Creature — Eye,"{T}: Add {U}. Spend this mana only to cast an enchantment spell, unlock a door, or turn a permanent face up.",2,1,['U'],['U'],[],dsk,common
Cryptid Inspector,{2}{G},3,Creature — Elf Warrior,"Vigilance
Whenever a face-down permanent you control enters and whenever Cryptid Inspector or another permanent you control is turned face up, put a +1/+1 counter on Cryptid Inspector.",2,3,['G'],['G'],['Vigilance'],dsk,common
Cult Healer,{2}{W},3,Creature — Human Doctor,"Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, Cult Healer gains lifelink until end of turn.",3,3,['W'],['W'],['Eerie'],dsk,common
Cursed Recording,{2}{R}{R},4,Artifact,"Whenever you cast an instant or sorcery spell, put a time counter on Cursed Recording. Then if there are seven or more time counters on it, remove those counters and it deals 20 damage to you.
{T}: When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.",n/a,n/a,['R'],['R'],[],dsk,rare
Cursed Windbreaker,{2}{U},3,Artifact — Equipment,"When Cursed Windbreaker enters, manifest dread, then attach Cursed Windbreaker to that creature. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)
Equipped creature has flying.
Equip {3}",n/a,n/a,['U'],['U'],"['Manifest', 'Manifest dread', 'Equip']",dsk,uncommon
Cynical Loner,{1}{B},2,Creature — Human Survivor,"Cynical Loner can't be blocked by Glimmers.
Survival — At the beginning of your second main phase, if Cynical Loner is tapped, you may search your library for a card, put it into your graveyard, then shuffle.",3,1,['B'],['B'],['Survival'],dsk,uncommon
Daggermaw Megalodon,{4}{U}{U},6,Creature — Shark,"Vigilance
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",5,7,['U'],['U'],"['Islandcycling', 'Vigilance', 'Landcycling', 'Typecycling', 'Cycling']",dsk,common
