name,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Agate Assault,{2}{R},3.0,Sorcery,"Choose one —
• Agate Assault deals 4 damage to target creature. If that creature would die this turn, exile it instead.
• Exile target artifact.",n/a,n/a,['R'],['R'],[],blb,common
Agate-Blade Assassin,{1}{B},2.0,Creature — Lizard Assassin,"Whenever Agate-Blade Assassin attacks, defending player loses 1 life and you gain 1 life.",1,3,['B'],['B'],[],blb,common
"Alania, Divergent Storm",{3}{U}{R},5.0,Legendary Creature — Otter Wizard,"Whenever you cast a spell, if it's the first instant spell, the first sorcery spell, or the first Otter spell other than Alania you've cast this turn, you may have target opponent draw a card. If you do, copy that spell. You may choose new targets for the copy.",3,5,"['R', 'U']","['R', 'U']",[],blb,rare
Alania's Pathmaker,{3}{R},4.0,Creature — Otter Wizard,"When Alania's Pathmaker enters, exile the top card of your library. Until the end of your next turn, you may play that card.",4,2,['R'],['R'],[],blb,common
Artist's Talent,{1}{R},2.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
Whenever you cast a noncreature spell, you may discard a card. If you do, draw a card.
{2}{R}: Level 2
Noncreature spells you cast cost {1} less to cast.
{2}{R}: Level 3
If a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, it deals that much damage plus 2 instead.",n/a,n/a,['R'],['R'],[],blb,rare
Azure Beastbinder,{1}{U},2.0,Creature — Rat Rogue,"Vigilance
Azure Beastbinder can't be blocked by creatures with power 2 or greater.
Whenever Azure Beastbinder attacks, up to one target artifact, creature, or planeswalker an opponent controls loses all abilities until your next turn. If it's a creature, it also has base power and toughness 2/2 until your next turn.",1,3,['U'],['U'],['Vigilance'],blb,rare
Bakersbane Duo,{1}{G},2.0,Creature — Squirrel Raccoon,"When Bakersbane Duo enters, create a Food token.
Whenever you expend 4, Bakersbane Duo gets +1/+1 until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",2,2,['G'],['G'],['Food'],blb,common
Bandit's Talent,{1}{B},2.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
When Bandit's Talent enters, each opponent discards two cards unless they discard a nonland card.
{B}: Level 2
At the beginning of each opponent's upkeep, if that player has one or fewer cards in hand, they lose 2 life.
{3}{B}: Level 3
At the beginning of your draw step, draw an additional card for each opponent who has one or fewer cards in hand.",n/a,n/a,['B'],['B'],[],blb,uncommon
Banishing Light,{2}{W},3.0,Enchantment,"When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield.",n/a,n/a,['W'],['W'],[],blb,common
Barkform Harvester,{3},3.0,Artifact Creature — Shapeshifter,"Changeling (This card is every creature type.)
Reach
{2}: Put target card from your graveyard on the bottom of your library.",2,3,[],[],"['Reach', 'Changeling']",blb,common
Bark-Knuckle Boxer,{1}{G},2.0,Creature — Raccoon Berserker,"Whenever you expend 4, Bark-Knuckle Boxer gains indestructible until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",3,2,['G'],['G'],[],blb,uncommon
"Baylen, the Haymaker",{R}{G}{W},3.0,Legendary Creature — Rabbit Warrior,"Tap two untapped tokens you control: Add one mana of any color.
Tap three untapped tokens you control: Draw a card.
Tap four untapped tokens you control: Put three +1/+1 counters on Baylen, the Haymaker. It gains trample until end of turn.",4,3,"['G', 'R', 'W']","['G', 'R', 'W']",[],blb,rare
Bellowing Crier,{1}{U},2.0,Creature — Frog Advisor,"When Bellowing Crier enters, draw a card, then discard a card.",2,1,['U'],['U'],[],blb,common
"Beza, the Bounding Spring",{2}{W}{W},4.0,Legendary Creature — Elemental Elk,"When Beza, the Bounding Spring enters, create a Treasure token if an opponent controls more lands than you. You gain 4 life if an opponent has more life than you. Create two 1/1 blue Fish creature tokens if an opponent controls more creatures than you. Draw a card if an opponent has more cards in hand than you.",4,5,['W'],['W'],['Treasure'],blb,mythic
Blacksmith's Talent,{R},1.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
When Blacksmith's Talent enters, create a colorless Equipment artifact token named Sword with ""Equipped creature gets +1/+1"" and equip {2}.
{2}{R}: Level 2
At the beginning of combat on your turn, attach target Equipment you control to up to one target creature you control.
{3}{R}: Level 3
During your turn, equipped creatures you control have double strike and haste.",n/a,n/a,['R'],['R'],[],blb,uncommon
