name,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Abstruse Appropriation,{2}{W}{B},4.0,Instant,"Devoid (This card has no color.)
Exile target nonland permanent. You may cast that card for as long as it remains exiled, and you may spend colorless mana as though it were mana of any color to cast that spell.",n/a,n/a,[],"['B', 'W']",['Devoid'],mh3,rare
Accursed Marauder,{1}{B},2.0,Creature — Zombie Warrior,"When Accursed Marauder enters the battlefield, each player sacrifices a nontoken creature.",2,1,['B'],['B'],[],mh3,common
Aerie Auxiliary,{3}{W},4.0,Creature — Bird Soldier,"Flying
When Aerie Auxiliary enters the battlefield, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)",3,3,['W'],['W'],"['Flying', 'Support']",mh3,common
Aether Revolt,{2}{R}{R},4.0,Enchantment,"Revolt — As long as a permanent you controlled left the battlefield this turn, if a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, it deals that much damage plus 2 instead.
Whenever you get one or more {E}, Aether Revolt deals that much damage to any target.",n/a,n/a,['R'],['R'],['Revolt'],mh3,rare
Aether Spike,{1}{U},2.0,Instant,"Choose target spell. You get {E}{E} (two energy counters), then you may pay any amount of {E}. Counter that spell unless its controller pays {1} for each {E} paid this way.",n/a,n/a,['U'],['U'],[],mh3,common
Ajani Fells the Godsire,{3}{W}{W},5.0,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Exile target creature an opponent controls with power 3 or greater.
II — Create a 2/1 white Cat Warrior creature token, then put a vigilance counter on a creature you control.
III — Target creature you control gains double strike until end of turn.",n/a,n/a,['W'],['W'],[],mh3,uncommon
"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",n/a,2.0,Legendary Creature — Cat Warrior // Legendary Planeswalker — Ajani,n/a,n/a,n/a,n/a,"['R', 'W']",['Transform'],mh3,mythic
Amped Raptor,{1}{R},2.0,Creature — Dinosaur,"First strike
When Amped Raptor enters the battlefield, you get {E}{E} (two energy counters). Then if you cast it from your hand, exile cards from the top of your library until you exile a nonland card. You may cast that card by paying an amount of {E} equal to its mana value rather than paying its mana cost.",2,1,['R'],['R'],['First strike'],mh3,uncommon
Amphibian Downpour,{2}{U},3.0,Enchantment — Aura,"Flash
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies. Copies become tokens.)
Enchant creature
Enchanted creature loses all abilities and is a blue Frog creature with base power and toughness 1/1.",n/a,n/a,['U'],['U'],"['Storm', 'Enchant', 'Flash']",mh3,rare
Angel of the Ruins,{5}{W}{W},7.0,Artifact Creature — Angel,"Flying
When Angel of the Ruins enters the battlefield, exile up to two target artifacts and/or enchantments.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",5,7,['W'],['W'],"['Flying', 'Plainscycling', 'Landcycling', 'Typecycling', 'Cycling']",mh3,uncommon
Annoyed Altisaur,{5}{G}{G},7.0,Creature — Dinosaur,"Reach, trample
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",6,5,['G'],['G'],"['Reach', 'Trample', 'Cascade']",mh3,uncommon
